route_id,service_id,trip_id,trip_headsign,shape_id,block_id
13,987,306316:422267:423237,JOHN-JUMBO to County Fair,3513,423237
9,985,307070:422268:423192,JUNOT to Waterfront,3499,423192
3M,986,307744:422269:423204,MEMORIAL to Northwood,3520,423204
3M,985,307273:422270:423197,MEMORIAL to Jumbo Gardens,3559,423197
8,987,305880:422271:423212,JAMES to City Hall,3540,423212
9,986,307805:422272:423226,JUNOT to Waterfront,3499,423226
3M,986,307708:422273:423253,MEMORIAL to County Park,3560,423253
17,985,306472:422274:423218,CURRENT RIVER to Waterfront,3566,423218
8,985,307348:422275:423224,JAMES to City Hall,3540,423224
9,985,307062:422276:423218,JUNOT to Waterfront,3499,423218
3C,986,308043:422277:423253,COUNTY PARK to Castlegreen Dr,3528,423253
3M,987,306118:422278:423207,MEMORIAL to City Hall,3518,423207
17,985,306510:422279:423228,CURRENT RIVER to Waterfront,3566,423228
7,985,307176:422280:423217,HUDSON to Waterfront,3458,423217
3M,986,307774:422281:423230,MEMORIAL to Northwood,3515,423230
17,976,309820:422282:423229,CURRENT RIVER to Waterfront,3566,423229
7,986,307889:422283:423267,HUDSON to Waterfront,3458,423267
7,985,307157:422284:423217,HUDSON to Waterfront,3458,423217
18,987,305757:422285:423196,WESTFORT to Mary,3509,423196
3M,985,307304:422286:423261,MEMORIAL to Northwood,3515,423261
9,986,307808:422287:423215,JUNOT to Waterfront,3499,423215
3M,985,307199:422288:423234,MEMORIAL to Jumbo Gardens,3559,423234
13,986,308395:422289:423255,JOHN-JUMBO to County Fair,3513,423255
3M,987,306116:422290:423207,MEMORIAL to City Hall,3518,423207
8,987,305905:422291:423191,JAMES to City Hall,3540,423191
3M,985,307184:422292:423223,MEMORIAL to County Park,3560,423223
18,987,305762:422293:423209,WESTFORT to Mary,3509,423209
3J,986,308162:422294:423188,JUMBO GARDENS to Airport,3530,423188
7,976,309673:422295:423213,HUDSON to Waterfront,3458,423213
13,986,308393:422296:423255,JOHN-JUMBO to County Fair,3513,423255
3M,985,307270:422297:423258,MEMORIAL to County Park,3560,423258
15,985,307479:422298:423206,BEVERLY to University,3535,423206
