route_id,service_id,trip_id,trip_headsign,shape_id,block_id
13,987,306315:422643:423245,JOHN-JUMBO to County Fair,3513,423245
3M,985,307206:422644:423222,MEMORIAL to County Park,3560,423222
3M,985,307216:422645:423261,MEMORIAL to Northwood,3520,423261
9,976,309788:422646:423195,JUNOT to Waterfront,3499,423195
3J,985,306823:422647:423197,JUMBO GARDENS to Sherwood Dr.,3525,423197
3M,985,307282:422648:423258,MEMORIAL to Northwood,3515,423258
7,986,307876:422649:423255,HUDSON to Waterfront,3458,423255
7,985,307120:422650:423217,HUDSON to Waterfront,3458,423217
3C,976,309415:422651:423211,COUNTY PARK to Northwood,3564,423211
3C,986,308012:422652:423204,COUNTY PARK to Northwood,3564,423204
7,986,307869:422653:423267,HUDSON to Waterfront,3458,423267
7,985,307164:422654:423217,HUDSON to Waterfront,3458,423217
3M,986,307718:422655:423253,MEMORIAL to County Park,3560,423253
17,986,307649:422656:423242,CURRENT RIVER to Waterfront,3566,423242
18,987,305755:422657:423247,WESTFORT to Mary,3509,423247
7,976,309680:422658:423227,HUDSON to Waterfront,3458,423227
3M,987,306083:422659:423231,MEMORIAL to Northwood,3515,423231
3M,986,307699:422660:423188,MEMORIAL to Jumbo Gardens,3559,423188
15,985,307488:422661:423228,BEVERLY to University,3535,423228
3J,986,308169:422662:423203,JUMBO GARDENS to Sherwood Dr.,3525,423203
3C,985,306922:422663:423258,COUNTY PARK to Northwood,3564,423258
2,986,308488:422664:423250,CROSSTOWN to Waterfront,3478,423250
3M,976,309530:422665:423221,MEMORIAL to Northwood,3515,423221
17,976,309824:422666:423246,CURRENT RIVER to Waterfront,3566,423246
18,987,305763:422667:423196,WESTFORT to Mary,3509,423196
3C,987,306165:422668:423256,COUNTY PARK to Northwood,3564,423256
8,985,307330:422669:423198,JAMES to City Hall via College,3551,423198
8,985,307337:422670:423216,JAMES to City Hall via College,3551,423216
13,985,306520:422671:423217,JOHN-JUMBO to County Fair,3513,423217
18,976,309844:422672:423246,WESTFORT to Mary,3509,423246
3C,985,306969:422673:423257,COUNTY PARK to Northwood,3564,423257
7,985,307152:422674:423268,HUDSON to Waterfront,3458,423268
17,987,305822:422675:423196,CURRENT RIVER to Waterfront,3566,423196
3M,986,307777:422676:423260,MEMORIAL to City Hall,3518,423260
8,987,305877:422677:423194,JAMES to City Hall via College,3551,423194
3M,986,307758:422678:423254,MEMORIAL to Northwood,3520,423254
3C,987,306166:422679:423214,COUNTY PARK to Northwood,3564,423214
2,986,308477:422680:423199,CROSSTOWN to Waterfront,3478,423199
3M,986,307729:422681:423260,MEMORIAL to Northwood,3515,423260
3M,986,307720:422682:423260,MEMORIAL to County Park,3560,423260
9,985,307105:422683:423192,JUNOT to Waterfront,3499,423192
3M,976,309523:422684:423269,MEMORIAL to Northwood,3515,423269
3M,985,307258:422685:423223,MEMORIAL to County Park,3560,423223
3M,985,307202:422686:423258,MEMORIAL to County Park,3560,423258
3M,985,307241:422687:423197,MEMORIAL to Airport,3516,423197
9,985,307077:422688:423228,JUNOT to Waterfront,3499,423228
3M,986,307781:422689:423251,MEMORIAL to Airport,3516,423251
3J,986,308148:422690:423203,JUMBO GARDENS to Airport,3530,423203
3M,986,307750:422691:423253,MEMORIAL to Northwood,3520,423253
3M,986,307706:422692:423254,MEMORIAL to County Park,3560,423254
9,987,305839:422693:423266,JUNOT to Waterfront,3499,423266
3C,976,309435:422694:423269,COUNTY PARK to Castlegreen Dr,3528,423269
9,986,307817:422695:423189,JUNOT to Waterfront,3499,423189
9,985,307104:422696:423218,JUNOT to Waterfront,3499,423218
15,985,307486:422697:423192,BEVERLY to University,3535,423192
17,976,309813:422698:423208,CURRENT RIVER to Waterfront,3566,423208
8,987,305884:422699:423191,JAMES to City Hall,3540,423191
3C,976,309425:422700:423269,COUNTY PARK to Northwood,3564,423269
3M,986,307707:422701:423241,MEMORIAL to Jumbo Gardens,3559,423241
9,985,307103:422702:423206,JUNOT to Waterfront,3499,423206
2,986,308471:422703:423199,CROSSTOWN to Waterfront,3478,423199
9,987,305832:422704:423236,JUNOT to Waterfront,3499,423236
15,985,307490:422705:423218,BEVERLY to University,3535,423218
3M,986,307785:422706:423230,MEMORIAL to Northwood,3515,423230
7,976,309687:422707:423213,HUDSON to Waterfront,3458,423213
18,976,309842:422708:423208,WESTFORT to Mary,3509,423208
8,976,309729:422709:423205,JAMES to City Hall,3540,423205
8,976,309748:422710:423263,JAMES to City Hall,3540,423263
3M,987,306080:422711:423231,MEMORIAL to Northwood,3515,423231
17,987,305812:422712:423209,CURRENT RIVER to Waterfront,3566,423209
3M,986,307723:422713:423251,MEMORIAL to Jumbo Gardens,3559,423251
3C,986,308025:422714:423260,COUNTY PARK to Castlegreen Dr,3528,423260
13,986,308399:422715:423255,JOHN-JUMBO to County Fair,3513,423255
3M,987,306056:422716:423231,MEMORIAL to County Park,3563,423231
3C,986,307993:422717:423260,COUNTY PARK to Northwood,3564,423260
3J,985,306805:422718:423234,JUMBO GARDENS to Airport,3530,423234
3M,987,306057:422719:423256,MEMORIAL to County Park,3563,423256
17,986,307665:422720:423243,CURRENT RIVER to Waterfront,3566,423243
3M,987,306122:422721:423231,MEMORIAL to Northwood,3515,423231
1,985,307022:422722:423187,MAINLINE to Waterfront,3522,423187
1,985,307026:422723:423187,MAINLINE to Waterfront,3522,423187
17,985,306481:422724:423228,CURRENT RIVER to Waterfront,3566,423228
7,976,309684:422725:423227,HUDSON to Waterfront,3458,423227
3C,986,308013:422726:423230,COUNTY PARK to Northwood,3564,423230
3J,985,306822:422727:423224,JUMBO GARDENS to Sherwood Dr.,3525,423224
3M,976,309549:422728:423233,MEMORIAL to Waterfront,3562,423233
8,987,305874:422729:423191,JAMES to City Hall via College,3551,423191
3M,976,309507:422730:423221,MEMORIAL to County Park,3563,423221
7,976,309676:422731:423227,HUDSON to Waterfront,3458,423227
17,976,309815:422732:423246,CURRENT RIVER to Waterfront,3566,423246
8,986,308408:422733:423201,JAMES to City Hall,3540,423201
3M,985,307207:422734:423264,MEMORIAL to Jumbo Gardens,3559,423264
3J,985,306851:422735:423197,JUMBO GARDENS to Sherwood Dr.,3525,423197
9,976,309756:422736:423238,JUNOT to Waterfront,3499,423238
3J,985,306855:422737:423197,JUMBO GARDENS to Waterfront,3532,423197
3J,985,306831:422738:423244,JUMBO GARDENS to Sherwood Dr.,3525,423244
3M,976,309495:422739:423211,MEMORIAL to County Park,3563,423211
3M,987,306086:422740:423231,MEMORIAL to Northwood,3515,423231
3M,987,306060:422741:423256,MEMORIAL to County Park,3563,423256
9,986,307816:422742:423235,JUNOT to Waterfront,3499,423235
3M,987,306067:422743:423214,MEMORIAL to County Park,3563,423214
3M,986,307743:422744:423203,MEMORIAL to Airport,3516,423203
3M,987,306061:422745:423214,MEMORIAL to County Park,3563,423214
17,986,307667:422746:423190,CURRENT RIVER to Waterfront,3566,423190
3M,986,307765:422747:423251,MEMORIAL to Airport,3516,423251
15,985,307481:422748:423192,BEVERLY to University,3535,423192
18,987,305753:422749:423209,WESTFORT to Mary,3509,423209
3C,986,308009:422750:423254,COUNTY PARK to Northwood,3564,423254
3M,987,306110:422751:423207,MEMORIAL to Waterfront,3562,423207
17,987,305816:422752:423196,CURRENT RIVER to Waterfront,3566,423196
3C,987,306172:422753:423214,COUNTY PARK to Northwood,3564,423214
8,985,307328:422754:423216,JAMES to City Hall via College,3551,423216
3J,985,306835:422755:423234,JUMBO GARDENS to Sherwood Dr.,3525,423234
2,986,308483:422756:423199,CROSSTOWN to Waterfront,3478,423199
9,987,305833:422757:423266,JUNOT to Waterfront,3499,423266
7,986,307871:422758:423267,HUDSON to Waterfront,3458,423267
3J,985,306809:422759:423264,JUMBO GARDENS to Airport,3530,423264
15,985,307498:422760:423228,BEVERLY to University,3535,423228
8,976,309725:422761:423263,JAMES to City Hall,3540,423263
9,986,307865:422762:423189,JUNOT to Waterfront,3499,423189
3M,985,307259:422763:423224,MEMORIAL to Jumbo Gardens,3559,423224
18,976,309836:422764:423208,WESTFORT to Mary,3509,423208
3M,986,307799:422765:423230,MEMORIAL to County Park,3560,423230
9,986,307811:422766:423235,JUNOT to Waterfront,3499,423235
3M,985,307246:422767:423222,MEMORIAL to County Park,3560,423222
3C,987,306186:422768:423231,COUNTY PARK to Castlegreen Dr,3528,423231
18,976,309840:422769:423229,WESTFORT to Mary,3509,423229
3M,986,307742:422770:423260,MEMORIAL to Northwood,3520,423260
9,985,307069:422771:423228,JUNOT to Waterfront,3499,423228
7,986,307891:422772:423267,HUDSON to Waterfront,3458,423267
3M,985,307238:422773:423258,MEMORIAL to Northwood,3520,423258
3J,985,306829:422774:423264,JUMBO GARDENS to Sherwood Dr.,3525,423264
3M,986,307713:422775:423251,MEMORIAL to Jumbo Gardens,3559,423251
17,987,305814:422776:423247,CURRENT RIVER to Waterfront,3566,423247
9,985,307075:422777:423192,JUNOT to Waterfront,3499,423192
15,985,307492:422778:423240,BEVERLY to University,3535,423240
8,986,308445:422779:423220,JAMES to City Hall via College,3551,423220
15,985,307501:422780:423192,BEVERLY to University,3535,423192
7,986,307868:422781:423255,HUDSON to Waterfront,3458,423255
8,976,309741:422782:423263,JAMES to City Hall,3540,423263
7,985,307161:422783:423217,HUDSON to Waterfront,3458,423217
17,985,306473:422784:423192,CURRENT RIVER to Waterfront,3566,423192
18,987,305761:422785:423247,WESTFORT to Mary,3509,423247
17,987,305827:422786:423247,CURRENT RIVER to Waterfront,3566,423247
3M,987,306094:422787:423256,MEMORIAL to Northwood,3515,423256
3M,986,307784:422788:423253,MEMORIAL to Northwood,3515,423253
9,987,305842:422789:423236,JUNOT to Waterfront,3499,423236
7,986,307887:422790:423267,HUDSON to Waterfront,3458,423267
3M,985,307209:422791:423234,MEMORIAL to Jumbo Gardens,3559,423234
17,985,306500:422792:423240,CURRENT RIVER to Waterfront,3566,423240
2,986,308481:422793:423232,CROSSTOWN to Waterfront,3478,423232
