service_id,date,exception_type
976,20260403,1
978,20260329,1
978,20260330,1
978,20260331,1
978,20260401,1
978,20260402,1
978,20260403,1
978,20260404,1
978,20260405,1
978,20260406,1
978,20260407,1
978,20260408,1
978,20260409,1
978,20260410,1
978,20260411,1
978,20260412,1
978,20260413,1
978,20260414,1
978,20260415,1
978,20260416,1
978,20260417,1
978,20260418,1
978,20260419,1
978,20260420,1
978,20260421,1
978,20260422,1
978,20260423,1
978,20260424,1
978,20260425,1
978,20260426,1
978,20260427,1
978,20260428,1
978,20260429,1
978,20260430,1
978,20260501,1
978,20260502,1
978,20260503,1
978,20260504,1
978,20260505,1
978,20260506,1
978,20260507,1
978,20260508,1
978,20260509,1
979,20260330,1
980,20260330,1
980,20260331,1
980,20260401,1
980,20260402,1
980,20260406,1
980,20260407,1
980,20260408,1
980,20260409,1
980,20260410,1
980,20260413,1
980,20260414,1
980,20260415,1
980,20260416,1
980,20260417,1
980,20260420,1
980,20260421,1
980,20260422,1
980,20260423,1
980,20260424,1
980,20260427,1
980,20260428,1
980,20260429,1
980,20260430,1
980,20260501,1
980,20260504,1
980,20260505,1
980,20260506,1
980,20260507,1
980,20260508,1
982,20260404,1
982,20260411,1
982,20260418,1
982,20260425,1
982,20260502,1
982,20260509,1
983,20260329,1
984,20260329,1
984,20260405,1
984,20260412,1
984,20260419,1
984,20260426,1
984,20260503,1
985,20260331,1
985,20260401,1
985,20260402,1
985,20260406,1
985,20260407,1
985,20260408,1
985,20260409,1
985,20260410,1
985,20260413,1
985,20260414,1
985,20260415,1
985,20260416,1
985,20260417,1
985,20260420,1
985,20260421,1
985,20260422,1
985,20260423,1
985,20260424,1
985,20260427,1
985,20260428,1
985,20260429,1
985,20260430,1
985,20260501,1
985,20260504,1
985,20260505,1
985,20260506,1
985,20260507,1
985,20260508,1
986,20260404,1
986,20260411,1
986,20260418,1
986,20260425,1
986,20260502,1
986,20260509,1
987,20260405,1
987,20260412,1
987,20260419,1
987,20260426,1
987,20260503,1
